Year,Employed,Unemployed,With health insurance coverage,No health insurance coverage,Households - Households receiving food stamps/SNAP,Below poverty level,At or above  poverty level,Household Median income (dollars),With a disability,Age 65+,Total Population
2013,458809,46588,746617,136459,34510,27299,279431,72052,77102,96129,890081
2014,466470,46924,781593,116291,37971,26097,280925,72290,82768,102201,904430
2015,481178,30521,804744,98411,33147,22946,281593,76741,83778,106416,909535
2016,485154,32415,808019,92692,31353,25358,282458,79184,87100,111690,908049
2017,490928,30743,814268,91565,26599,24075,286655,81240,89393,116953,912756
2018,484007,35452,807900,94894,25008,23172,292587,83034,85670,120625,909308
2019,481645,27774,813334,88784,29532,26045,290316,86290,86531,126253,909327
2021,478604,40436,845179,100325,49401,38363,307764,90182,98363,138602,955306
2022,493685,27689,834537,101480,45401,33618,313589,94441,99163,144701,946971
2023,503937,28407,831866,105172,38769,36556,314904,98027,103957,148008,947430
